"Table Name","Column Name","Physical Data Type","Domain Parent"
CommonColumnsForTriggerTemplate,RowLevelHashKey,varbinary(max),dBlob
CommonColumnsForTriggerTemplate,Note,varchar(50),sdCommentaryString
CommonColumnsForTriggerTemplate,IsDeleted,char(1),sdFlagString
CommonColumnsForTriggerTemplate,Transaction Number,integer,dNumber
CommonColumnsForTriggerTemplate,UserAuthenticatedKey,integer,dNumber
CommonColumnsForTriggerTemplate,SysStartTime,datetime,dDatetime
CommonColumnsForTriggerTemplate,SysEndTime,datetime,dDatetime
Country,CountryId,integer,sdIdNumber
Country,CountryISO3,varchar(50),sdCountryString
Country,CountryName,varchar(50),sdCountryString
Country,CountryISO2,varchar(50),sdCountryString
Country,RegionId,integer,dNumber
Country,UserAuthorizationId,integer,dNumber
Country,SysStartTime,datetime,dDatetime
Country,SysEndTime,datetime,dDatetime
Country,RowLevelHashKey,varbinary(max),dBlob
Customer,CustomerId,integer,sdIdNumber
Customer,CustomerName,varchar(50),sdPersonName
Customer,CustomerAddress1,varchar(50),sdAddressString
Customer,CustomerAddress2,varchar(50),sdAddressString
Customer,CustomerTown,varchar(50),sdTownString
Customer,CustomerPostalCode,char(10),sdZipCodeString
Customer,IsCustomerReseller,char(1),sdFlagString
Customer,IsCustomerCreditRisk,char(1),sdFlagString
Customer,CustomerSpendCapacity,"decimal(18,2)",sdMoneyNumber
Customer,CountryId,integer,sdIdNumber
Customer,UserAuthorizationId,integer,dNumber
Customer,SysStartTime,datetime,dDatetime
Customer,SysEndTime,datetime,dDatetime
Customer,RowLevelHashKey,varbinary(max),dBlob
Model,ModelId,integer,sdIdNumber
Model,ModelName,varchar(50),sdModelName
Model,ModelVariant,varchar(50),sdNameString
Model,BodyName,varchar(50),sdDetailsString
Model,MakeId,integer,sdIdNumber
Model,CategoryId,integer,sdIdNumber
Model,UserAuthorizationId,integer,dNumber
Model,SysStartTime,datetime,dDatetime
Model,SysEndTime,datetime,dDatetime
Model,RowLevelHashKey,varbinary(max),dBlob
Make,VehicleMakeId,integer,sdIdNumber
Make,VehicleMakeName,varchar(50),sdMakeName
Make,UserAuthorizationId,integer,dNumber
Make,SysStartTime,datetime,dDatetime
Make,SysEndTime,datetime,dDatetime
Make,RowLevelHashKey,varbinary(max),dBlob
VehicleStock,StockId,integer,sdIdNumber
VehicleStock,StockCode,varchar(50),dString
VehicleStock,Cost,"decimal(18,2)",sdPriceNumber
VehicleStock,RepairsCharge,"decimal(18,2)",sdFeeNumber
VehicleStock,PartsCharge,"decimal(18,2)",sdFeeNumber
VehicleStock,DeliveryCharge,"decimal(18,2)",sdFeeNumber
VehicleStock,PurchaseDate,datetime,sdYYYYMMDDDatetime
VehicleStock,VehicleId,integer,sdIdNumber
VehicleStock,ModelId,integer,sdIdNumber
VehicleStock,MakeId,integer,sdIdNumber
VehicleStock,TrimId,integer,sdIdNumber
VehicleStock,CusomerComments,varchar(50),sdCommentaryString
VehicleStock,UserAuthorizationId,integer,dNumber
VehicleStock,SysStartTime,datetime,dDatetime
VehicleStock,SysEndTime,datetime,dDatetime
VehicleStock,RowLevelHashKey,varbinary(max),dBlob
Category,CategoryName,varchar(50),dString
Category,CategoryId,integer,sdIdNumber
Category,UpperThreshold,"decimal(18,2)",sdMoneyNumber
Category,LowerThreshold,"decimal(18,2)",sdMoneyNumber
Category,UserAuthorizationId,integer,dNumber
Category,SysStartTime,datetime,dDatetime
Category,SysEndTime,datetime,dDatetime
Category,RowLevelHashKey,varbinary(max),dBlob
Order,OrderId,integer,sdIdNumber
Order,InvoiceNumber,integer,dNumber
Order,TotalPrice,"decimal(18,2)",sdPriceNumber
Order,Date,datetime,sdYYYYMMDDDatetime
Order,CustomerId,integer,sdIdNumber
Order,StaffId,integer,sdIdNumber
Order,UserAuthorizationId,integer,dNumber
Order,SysStartTime,datetime,dDatetime
Order,SysEndTime,datetime,dDatetime
Order,RowLevelHashKey,varbinary(max),dBlob
Staff,StaffId,integer,sdIdNumber
Staff,StaffName,varchar(50),sdPersonName
Staff,Department,varchar(50),sdDepartmentName
Staff,ManagerId,integer,sdIdNumber
Staff,UserAuthorizationId,integer,dNumber
Staff,SysStartTime,datetime,dDatetime
Staff,SysEndTime,datetime,dDatetime
Staff,RowLevelHashKey,varbinary(max),dBlob
sysdiagrams,Name,varchar(50),sdPersonName
sysdiagrams,Principal Id,integer,sdIdNumber
sysdiagrams,diagramid,integer,sdIdNumber
sysdiagrams,Version,integer,dNumber
sysdiagrams,Definition,varbinary(max),dBlob
Vehicle,VinNumber,char(17),sdVinNumberString
Vehicle,VehicleId,integer,sdIdNumber
Vehicle,VehicleYear,char(4),sdYYYYString
Vehicle,ManufacturerCountryId,integer,sdIdNumber
Vehicle,EngineId,integer,sdIdNumber
Vehicle,VehicleMakeId,integer,sdIdNumber
Vehicle,DriveTrainId,integer,sdIdNumber
Vehicle,FuelTypeId,integer,sdIdNumber
Vehicle,TransmissionId,integer,sdIdNumber
Vehicle,ColorId,integer,sdIdNumber
Vehicle,TrimId,integer,sdIdNumber
Vehicle,ModelId,integer,sdIdNumber
Vehicle,MakeId,integer,sdIdNumber
Vehicle,MSRP,"decimal(18,2)",sdMoneyNumber
Vehicle,UserAuthorizationId,integer,dNumber
Vehicle,SysStartTime,datetime,dDatetime
Vehicle,SysEndTime,datetime,dDatetime
Vehicle,RowLevelHashKey,varbinary(max),dBlob
Region,RegionId,integer,dNumber
Region,RegionName,varchar(50),sdRegionString
Region,UserAuthorizationId,integer,dNumber
Region,SysStartTime,datetime,dDatetime
Region,SysEndTime,datetime,dDatetime
Region,RowLevelHashKey,varbinary(max),dBlob
Feature,FeatureId,integer,sdIdNumber
Feature,FeatureName,varchar(50),dString
Feature,UserAuthorizationId,integer,dNumber
Feature,SysStartTime,datetime,dDatetime
Feature,SysEndTime,datetime,dDatetime
Feature,RowLevelHashKey,varbinary(max),dBlob
FeatureVehicle,Feature Id,integer,sdIdNumber
FeatureVehicle,VehicleId,integer,sdIdNumber
FeatureVehicle,Feature Vehicle Id,integer,sdIdNumber
FeatureVehicle,TrimId,integer,sdIdNumber
FeatureVehicle,ModelId,integer,sdIdNumber
FeatureVehicle,MakeId,integer,sdIdNumber
FeatureVehicle,UserAuthorizationId,integer,dNumber
FeatureVehicle,SysStartTime,datetime,dDatetime
FeatureVehicle,SysEndTime,datetime,dDatetime
FeatureVehicle,RowLevelHashKey,varbinary(max),dBlob
Engine,EngineId,integer,sdIdNumber
Engine,EngineDisplacement,float,Number
Engine,EngineCylinderCount,integer,dNumber
Engine,EngineMaxHorsepower,integer,dNumber
Engine,EngineMaxTorque,integer,dNumber
Engine,VehicleMakeId,integer,sdIdNumber
Engine,UserAuthorizationId,integer,dNumber
Engine,SysStartTime,datetime,dDatetime
Engine,SysEndTime,datetime,dDatetime
Engine,RowLevelHashKey,varbinary(max),dBlob
DriveTrain,DriveTrainId,integer,sdIdNumber
DriveTrain,DriveTrainCode,char(10),sdDriveTrainCodeString
DriveTrain,DriveTrainDescription,varchar(20),sdDriveTrainDescriptionString
DriveTrain,UserAuthorizationId,integer,dNumber
DriveTrain,SysStartTime,datetime,dDatetime
DriveTrain,SysEndTime,datetime,dDatetime
DriveTrain,RowLevelHashKey,varbinary(max),dBlob
FuelType,FuelTypeId,integer,sdIdNumber
FuelType,FuelType,varchar(50),sdNameString
FuelType,UserAuthorizationId,integer,dNumber
